Frequency_Hz,Signal_Strength_dBm
1730512249,1.34375
1734966592,0.25
1739420935,-0.25
1743875278,-0.3125
1748329621,2.1875
1752783964,1.625
1757238307,2.09375
1761692650,0.03125
1766146993,-1.0625
1770601336,0.40625
1775055679,-0.65625
1779510022,0.8125
1783964365,-1.75
1788418708,1.1875
1792873051,0.65625
1797327394,-0.40625
1801781737,0.53125
1806236080,-0.03125
1810690423,5.4375
1815144766,-1.125
1819599109,-0.21875
1824053452,1.75
1828507795,-0.3125
1832962138,0.65625
1837416481,-0.875
1841870824,-0.4375
1846325167,0.0
1850779510,-1.0625
1855233853,-0.59375
1859688196,-1.15625
1864142539,1.28125
1868596882,-0.25
1873051225,1.1875
1877505568,-0.375
1881959911,-0.90625
1886414254,0.0
1890868597,-0.53125
1895322940,-0.59375
1899777283,-0.59375
1904231626,0.3125
1908685969,2.3125
1913140312,2.25
1917594655,1.6875
1922048998,1.1875
1926503341,0.15625
1930957684,15.125
1935412027,15.59375
1939866370,9.625
1944320713,10.5625
1948775056,9.53125
1953229399,11.5
1957683742,11.96875
1962138085,8.4375
1966592428,14.40625
1971046771,4.375
1975501114,19.84375
1979955457,14.3125
1984409800,5.8125
1988864143,10.75
1993318486,6.25
1997772829,-3.28125
2002227171,-0.28125
2006681514,-2.8125
2011135857,-1.34375
2015590200,-2.90625
2020044543,-0.9375
2024498886,-1.96875
2028953229,0.5
2033407572,-2.0
2037861915,-1.5625
2042316258,-2.0625
2046770601,-3.09375
2051224944,-1.15625
2055679287,-1.15625
2060133630,-5.1875
2064587973,-1.21875
2069042316,-1.75
2073496659,-2.28125
2077951002,-3.3125
2082405345,-1.84375
2086859688,-2.34375
2091314031,-1.40625
2095768374,-1.4375
2100222717,-3.4375
2104677060,-1.46875
2109131403,8.0
2113585746,12.5
2118040089,14.0
2122494432,25.0
2126948775,23.53125
2131403118,13.53125
2135857461,22.53125
2140311804,17.53125
2144766147,13.5625
2149220490,14.5625
2153674833,22.0625
2158129176,16.5625
2162583519,-0.9375
2167037862,6.625
2171492205,14.625
2175946548,15.625
2180400891,8.625
2184855234,-1.875
2189309577,-2.84375
2193763920,-1.34375
2198218263,-1.34375
2202672606,-1.84375
2207126949,-1.3125
2211581292,-1.8125
2216035635,0.6875
2220489978,-1.3125
2224944321,-1.25
2229398664,-0.75
2233853007,-0.71875
2238307350,1.3125
2242761693,0.3125
2247216036,1.875
2251670379,0.90625
2256124722,2.9375
2260579065,1.46875
2265033408,1.0
2269487751,0.53125
2273942094,2.0625
2278396437,0.0625
2282850780,1.09375
2287305122,2.65625
2291759465,2.65625
2296213808,1.71875
2300668151,2.71875
2305122494,2.28125
2309576837,3.28125
2314031180,2.8125
2318485523,1.84375
2322939866,3.375
2327394209,4.40625
2331848552,1.4375
2336302895,0.46875
2340757238,2.96875
2345211581,1.03125
2349665924,2.5625
2354120267,12.59375
2358574610,4.125
2363028953,-1.375
2367483296,2.6875
2371937639,0.21875
2376391982,1.75
2380846325,1.75
2385300668,0.78125
2389755011,0.84375
2394209354,1.375
2398663697,-1.125
2403118040,0.90625
2407572383,10.46875
2412026726,1.5
2416481069,1.0
2420935412,4.03125
2425389755,1.0625
2429844098,9.09375
2434298441,19.625
2438752784,21.15625
2443207127,20.6875
2447661470,5.21875
2452115813,8.25
2456570156,4.28125
2461024499,4.28125
2465478842,3.8125
2469933185,3.84375
2474387528,3.84375
2478841871,3.3125
2483296214,-1.1875
2487750557,-10.65625
2492204900,-20.15625
2496659243,-15.1875
2501113586,-9.1875
2505567929,-5.1875
2510022272,-3.6875
2514476615,-8.1875
2518930958,-14.6875
2523385301,-6.71875
2527839644,-3.6875
2532293987,0.8125
2536748330,4.3125
2541202673,8.78125
2545657016,4.28125
2550111359,4.8125
2554565702,3.78125
2559020045,7.28125
2563474388,6.28125
2567928731,8.8125
2572383073,3.28125
2576837416,4.78125
2581291759,5.28125
2585746102,18.75
2590200445,4.78125
2594654788,16.28125
2599109131,4.78125
2603563474,2.25
2608017817,5.25
2612472160,2.78125
2616926503,3.78125
2621380846,-0.75
2625835189,-10.25
2630289532,-11.71875
2634743875,-16.25
2639198218,-19.25
2643652561,-14.25
2648106904,-3.75
2652561247,-9.25
2657015590,-17.75
2661469933,-20.25
2665924276,-15.78125
2670378619,-16.25
2674832962,-13.25
2679287305,13.21875
2683741648,12.71875
2688195991,5.21875
2692650334,5.75
2697104677,6.21875
2701559020,5.21875
2706013363,4.71875
2710467706,4.71875
2714922049,6.21875
2719376392,3.71875
2723830735,4.21875
2728285078,1.6875
2732739421,2.21875
2737193764,1.21875
2741648107,2.6875
2746102450,1.6875
2750556793,1.21875
2755011136,2.21875
2759465479,1.6875
2763919822,2.1875
2768374165,1.6875
2772828508,2.6875
2777282851,1.6875
2781737194,0.6875
2786191537,0.6875
2790645880,-0.8125
2795100223,1.6875
2799554566,2.1875
2804008909,2.1875
2808463252,0.15625
2812917595,-6.8125
2817371938,2.1875
2821826281,2.15625
2826280624,4.6875
2830734967,4.6875
2835189310,5.21875
2839643653,2.21875
2844097996,4.71875
2848552339,2.71875
2853006682,0.71875
2857461024,-12.28125
2861915367,-7.75
2866369710,-10.78125
2870824053,-0.75
2875278396,-0.75
2879732739,0.25
2884187082,-7.25
2888641425,-6.25
2893095768,-1.71875
2897550111,1.28125
2902004454,1.78125
2906458797,2.28125
2910913140,-0.6875
2915367483,3.28125
2919821826,1.3125
2924276169,2.8125
2928730512,-6.21875
2933184855,-3.1875
2937639198,0.8125
2942093541,0.34375
2946547884,1.3125
2951002227,2.34375
2955456570,3.34375
2959910913,0.84375
2964365256,1.84375
2968819599,-2.15625
2973273942,1.875
2977728285,0.34375
2982182628,-4.625
2986636971,0.875
2991091314,0.40625
2995545657,-0.125
3000000000,-0.09375
